x,y,z
-16.9469,7.2542,69.4944
-16.9469,14.8742,69.4944
-15.7277,18.2880,69.4944
-11.8872,18.2880,69.4944
-11.8872,23.1038,69.4944
-11.1252,25.1308,69.4944
-7.9858,25.1308,69.4944
-7.9858,23.1038,69.4944
0,23.1038,69.4944
10.6680,23.1038,69.4944
10.6680,25.1308,69.4944
13.8989,25.1308,69.4944
14.9352,23.1038,69.4944
14.9352,18.2880,69.4944
18.7757,18.2880,69.4944
18.7757,9.1440,69.4944
18.7757,0,69.4944
18.7757,-9.1440,69.4944
18.7757,-18.2880,69.4944
14.9352,-18.2880,69.4944
14.9352,-23.1038,69.4944
13.8989,-25.1308,69.4944
10.6680,-25.1308,69.4944
10.6680,-23.1038,69.4944
0,-23.1038,69.4944
-7.9858,-23.1038,69.4944
-7.9858,-25.1308,69.4944
-11.1252,-25.1308,69.4944
-11.8872,-23.1038,69.4944
-11.8872,-18.2880,69.4944
-15.7277,-18.2880,64.0080
-16.9469,-14.8742,64.0080
-16.9469,-7.2542,64.0080
-19.1110,-7.2542,64.0080
-20.7264,-5.9131,64.0080
-20.7264,-3.4138,64.0080
-19.1110,-1.9202,64.0080
-19.1110,1.9202,64.0080
-20.7264,3.4138,64.0080
-20.7264,5.9131,64.0080
-19.1110,7.2542,64.0080
-16.9469,7.2542,64.0080
-16.9469,14.8742,64.0080
-15.7277,18.2880,64.0080
-11.8872,18.2880,64.0080
-11.8872,23.1038,64.0080
-11.1252,25.1308,64.0080
-7.9858,25.1308,64.0080
-7.9858,23.1038,64.0080
0,23.1038,64.0080
10.6680,23.1038,64.0080
10.6680,25.1308,64.0080
13.8989,25.1308,64.0080
14.9352,23.1038,64.0080
14.9352,18.2880,64.0080
18.7757,18.2880,64.0080
18.7757,9.1440,64.0080
18.7757,0,64.0080
18.7757,-9.1440,64.0080
18.7757,-18.2880,64.0080
14.9352,-18.2880,64.0080
14.9352,-23.1038,64.0080
13.8989,-25.1308,64.0080
10.6680,-25.1308,64.0080
10.6680,-23.1038,64.0080
0,-23.1038,64.0080
-7.9858,-23.1038,64.0080
-7.9858,-25.1308,64.0080
-11.1252,-25.1308,64.0080
-11.8872,-23.1038,64.0080
-11.8872,-18.2880,64.0080
-15.7277,-18.2880,58.5216
-16.9469,-14.8742,58.5216
-16.9469,-7.2542,58.5216
-19.1110,-7.2542,58.5216
-20.7264,-5.9131,58.5216
-20.7264,-3.4138,58.5216
-19.1110,-1.9202,58.5216
-19.1110,1.9202,58.5216
-20.7264,3.4138,58.5216
-20.7264,5.9131,58.5216
-19.1110,7.2542,58.5216
-16.9469,7.2542,58.5216
-16.9469,14.8742,58.5216
-15.7277,18.2880,58.5216
-11.8872,18.2880,58.5216
-11.8872,23.1038,58.5216
-11.1252,25.1308,58.5216
-7.9858,25.1308,58.5216
-7.9858,23.1038,58.5216
0,23.1038,58.5216
10.6680,23.1038,58.5216
10.6680,25.1308,58.5216
13.8989,25.1308,58.5216
14.9352,23.1038,58.5216
14.9352,18.2880,58.5216
18.7757,18.2880,58.5216
18.7757,9.1440,58.5216
18.7757,0,58.5216
18.7757,-9.1440,58.5216
18.7757,-18.2880,58.5216
14.9352,-18.2880,58.5216
14.9352,-23.1038,58.5216
13.8989,-25.1308,58.5216
10.6680,-25.1308,58.5216
10.6680,-23.1038,58.5216
0,-23.1038,58.5216
-7.9858,-23.1038,58.5216
-7.9858,-25.1308,58.5216
-11.1252,-25.1308,58.5216
-11.8872,-23.1038,58.5216
-11.8872,-18.2880,58.5216
-15.7277,-18.2880,53.0352
-16.9469,-14.8742,53.0352
-16.9469,-7.2542,53.0352
-19.1110,-7.2542,53.0352
-20.7264,-5.9131,53.0352
-20.7264,-3.4138,53.0352
-19.1110,-1.9202,53.0352
-19.1110,1.9202,53.0352
-20.7264,3.4138,53.0352
-20.7264,5.9131,53.0352
-19.1110,7.2542,53.0352
-16.9469,7.2542,53.0352
-16.9469,14.8742,53.0352
-15.7277,18.2880,53.0352
-11.8872,18.2880,53.0352
-11.8872,23.1038,53.0352
-11.1252,25.1308,53.0352
-7.9858,25.1308,53.0352
-7.9858,23.1038,53.0352
0,23.1038,53.0352
10.6680,23.1038,53.0352
10.6680,25.1308,53.0352
13.8989,25.1308,53.0352
14.9352,23.1038,53.0352
14.9352,18.2880,53.0352
18.7757,18.2880,53.0352
18.7757,9.1440,53.0352
18.7757,0,53.0352
18.7757,-9.1440,53.0352
18.7757,-18.2880,53.0352
14.9352,-18.2880,53.0352
14.9352,-23.1038,53.0352
13.8989,-25.1308,53.0352
10.6680,-25.1308,53.0352
10.6680,-23.1038,53.0352
0,-23.1038,53.0352
-7.9858,-23.1038,53.0352
-7.9858,-25.1308,53.0352
-11.1252,-25.1308,53.0352
-11.8872,-23.1038,53.0352
-11.8872,-18.2880,53.0352
-15.7277,-18.2880,47.5488
-16.9469,-14.8742,47.5488
-16.9469,-7.2542,47.5488
-19.1110,-7.2542,47.5488
-20.7264,-5.9131,47.5488
-20.7264,-3.4138,47.5488
-19.1110,-1.9202,47.5488
-19.1110,1.9202,47.5488
-20.7264,3.4138,47.5488
-20.7264,5.9131,47.5488
-19.1110,7.2542,47.5488
-16.9469,7.2542,47.5488
-16.9469,14.8742,47.5488
-15.7277,18.2880,47.5488
-11.8872,18.2880,47.5488
-11.8872,23.1038,47.5488
-11.1252,25.1308,47.5488
-7.9858,25.1308,47.5488
-7.9858,23.1038,47.5488
0,23.1038,47.5488
10.6680,23.1038,47.5488
10.6680,25.1308,47.5488
13.8989,25.1308,47.5488
14.9352,23.1038,47.5488
14.9352,18.2880,47.5488
18.7757,18.2880,47.5488
18.7757,9.1440,47.5488
18.7757,0,47.5488
18.7757,-9.1440,47.5488
18.7757,-18.2880,47.5488
14.9352,-18.2880,47.5488
14.9352,-23.1038,47.5488
13.8989,-25.1308,47.5488
10.6680,-25.1308,47.5488
10.6680,-23.1038,47.5488
0,-23.1038,47.5488
-7.9858,-23.1038,47.5488
-7.9858,-25.1308,47.5488
-11.1252,-25.1308,47.5488
-11.8872,-23.1038,47.5488
-11.8872,-18.2880,47.5488
-11.8872,-7.2542,42.0624
-16.9469,-7.2542,42.0624
-19.1110,-7.2542,42.0624
-20.7264,-5.9131,42.0624
-20.7264,-3.4138,42.0624
-19.1110,-1.9202,42.0624
-19.1110,1.9202,42.0624
-20.7264,3.4138,42.0624
-20.7264,5.9131,42.0624
-19.1110,7.2542,42.0624
-16.9469,7.2542,42.0624
-11.8872,7.2542,42.0624
-11.8872,18.2880,42.0624
-11.8872,23.1038,42.0624
-11.1252,25.1308,42.0624
-7.9858,25.1308,42.0624
-7.9858,23.1038,42.0624
0,23.1038,42.0624
10.6680,23.1038,42.0624
10.6680,25.1308,42.0624
13.8989,25.1308,42.0624
14.9352,23.1038,42.0624
14.9352,18.2880,42.0624
18.7757,18.2880,42.0624
18.7757,9.1440,42.0624
18.7757,0,42.0624
18.7757,-9.1440,42.0624
18.7757,-18.2880,42.0624
14.9352,-18.2880,42.0624
14.9352,-23.1038,42.0624
13.8989,-25.1308,42.0624
10.6680,-25.1308,42.0624
10.6680,-23.1038,42.0624
0,-23.1038,42.0624
-7.9858,-23.1038,42.0624
-7.9858,-25.1308,42.0624
-11.1252,-25.1308,42.0624
-11.8872,-23.1038,42.0624
-11.8872,-18.2880,42.0624
-11.8872,-7.2542,36.5760
-16.9469,-7.2542,36.5760
-19.1110,-7.2542,36.5760
-20.7264,-5.9131,36.5760
-20.7264,-3.4138,36.5760
-19.1110,-1.9202,36.5760
-19.1110,1.9202,36.5760
-20.7264,3.4138,36.5760
-20.7264,5.9131,36.5760
-19.1110,7.2542,36.5760
-16.9469,7.2542,36.5760
-11.8872,7.2542,36.5760
-11.8872,18.2880,36.5760
-11.8872,23.1038,36.5760
-11.1252,25.1308,36.5760
-7.9858,25.1308,36.5760
-7.9858,23.1038,36.5760
0,23.1038,36.5760
10.6680,23.1038,36.5760
10.6680,25.1308,36.5760
13.8989,25.1308,36.5760
14.9352,23.1038,36.5760
14.9352,18.2880,36.5760
18.7757,18.2880,36.5760
18.7757,9.1440,36.5760
18.7757,0,36.5760
18.7757,-9.1440,36.5760
18.7757,-18.2880,36.5760
14.9352,-18.2880,36.5760
14.9352,-23.1038,36.5760
13.8989,-25.1308,36.5760
10.6680,-25.1308,36.5760
10.6680,-23.1038,36.5760
0,-23.1038,36.5760
-7.9858,-23.1038,36.5760
-7.9858,-25.1308,36.5760
-11.1252,-25.1308,36.5760
-11.8872,-23.1038,36.5760
-11.8872,-18.2880,36.5760
-11.8872,-7.2542,31.0896
-16.9469,-7.2542,31.0896
-19.1110,-7.2542,31.0896
-20.7264,-5.9131,31.0896
-20.7264,-3.4138,31.0896
-19.1110,-1.9202,31.0896
-19.1110,1.9202,31.0896
-20.7264,3.4138,31.0896
-20.7264,5.9131,31.0896
-19.1110,7.2542,31.0896
-16.9469,7.2542,31.0896
-11.8872,7.2542,31.0896
-11.8872,18.2880,31.0896
-11.8872,23.1038,31.0896
-11.1252,25.1308,31.0896
-7.9858,25.1308,31.0896
-7.9858,23.1038,31.0896
0,23.1038,31.0896
10.6680,23.1038,31.0896
10.6680,25.1308,31.0896
13.8989,25.1308,31.0896
14.9352,23.1038,31.0896
14.9352,18.2880,31.0896
18.7757,18.2880,31.0896
18.7757,9.1440,31.0896
18.7757,0,31.0896
18.7757,-9.1440,31.0896
18.7757,-18.2880,31.0896
14.9352,-18.2880,31.0896
14.9352,-23.1038,31.0896
13.8989,-25.1308,31.0896
10.6680,-25.1308,31.0896
10.6680,-23.1038,31.0896
0,-23.1038,31.0896
-7.9858,-23.1038,31.0896
-7.9858,-25.1308,31.0896
-11.1252,-25.1308,31.0896
-11.8872,-23.1038,31.0896
-11.8872,-18.2880,31.0896
-11.8872,-7.2542,25.6032
-16.9469,-7.2542,25.6032
-19.1110,-7.2542,25.6032
-20.7264,-5.9131,25.6032
-20.7264,-3.4138,25.6032
-19.1110,-1.9202,25.6032
-19.1110,1.9202,25.6032
-20.7264,3.4138,25.6032
-20.7264,5.9131,25.6032
-19.1110,7.2542,25.6032
-16.9469,7.2542,25.6032
-11.8872,7.2542,25.6032
-11.8872,18.2880,25.6032
-11.8872,23.1038,25.6032
-11.1252,25.1308,25.6032
-7.9858,25.1308,25.6032
-7.9858,23.1038,25.6032
0,23.1038,25.6032
10.6680,23.1038,25.6032
10.6680,25.1308,25.6032
13.8989,25.1308,25.6032
14.9352,23.1038,25.6032
14.9352,18.2880,25.6032
18.7757,18.2880,25.6032
18.7757,9.1440,25.6032
18.7757,0,25.6032
18.7757,-9.1440,25.6032
18.7757,-18.2880,25.6032
14.9352,-18.2880,25.6032
14.9352,-23.1038,25.6032
13.8989,-25.1308,25.6032
10.6680,-25.1308,25.6032
10.6680,-23.1038,25.6032
0,-23.1038,25.6032
-7.9858,-23.1038,25.6032
-7.9858,-25.1308,25.6032
-11.1252,-25.1308,25.6032
-11.8872,-23.1038,25.6032
-11.8872,-18.2880,25.6032
-11.8872,-7.2542,20.1168
-16.9469,-7.2542,20.1168
-19.1110,-7.2542,20.1168
-20.7264,-5.9131,20.1168
-20.7264,-3.4138,20.1168
-19.1110,-1.9202,20.1168
-19.1110,1.9202,20.1168
-20.7264,3.4138,20.1168
-20.7264,5.9131,20.1168
-19.1110,7.2542,20.1168
-16.9469,7.2542,20.1168
-11.8872,7.2542,20.1168
-11.8872,18.2880,20.1168
-11.8872,23.1038,20.1168
-11.1252,25.1308,20.1168
-7.9858,25.1308,20.1168
-7.9858,23.1038,20.1168
0,23.1038,20.1168
10.6680,23.1038,20.1168
10.6680,25.1308,20.1168
13.8989,25.1308,20.1168
14.9352,23.1038,20.1168
14.9352,18.2880,20.1168
18.7757,18.2880,20.1168
18.7757,9.1440,20.1168
18.7757,0,20.1168
18.7757,-9.1440,20.1168
18.7757,-18.2880,20.1168
14.9352,-18.2880,20.1168
14.9352,-23.1038,20.1168
13.8989,-25.1308,20.1168
10.6680,-25.1308,20.1168
10.6680,-23.1038,20.1168
0,-23.1038,20.1168
-7.9858,-23.1038,20.1168
-7.9858,-25.1308,20.1168
-11.1252,-25.1308,20.1168
-11.8872,-23.1038,20.1168
-11.8872,-18.2880,20.1168
-11.8872,-7.2542,14.6304
-16.9469,-7.2542,14.6304
-19.1110,-7.2542,14.6304
-20.7264,-5.9131,14.6304
-20.7264,-3.4138,14.6304
-19.1110,-1.9202,14.6304
-19.1110,1.9202,14.6304
-20.7264,3.4138,14.6304
-20.7264,5.9131,14.6304
-19.1110,7.2542,14.6304
-16.9469,7.2542,14.6304
-11.8872,7.2542,14.6304
-11.8872,18.2880,14.6304
-11.8872,23.1038,14.6304
-11.1252,25.1308,14.6304
-7.9858,25.1308,14.6304
-7.9858,23.1038,14.6304
0,23.1038,14.6304
10.6680,23.1038,14.6304
10.6680,25.1308,14.6304
13.8989,25.1308,14.6304
14.9352,23.1038,14.6304
14.9352,18.2880,14.6304
18.7757,18.2880,14.6304
18.7757,9.1440,14.6304
18.7757,0,14.6304
18.7757,-9.1440,14.6304
18.7757,-18.2880,14.6304
14.9352,-18.2880,14.6304
14.9352,-23.1038,14.6304
13.8989,-25.1308,14.6304
10.6680,-25.1308,14.6304
10.6680,-23.1038,14.6304
0,-23.1038,14.6304
-7.9858,-23.1038,14.6304
-7.9858,-25.1308,14.6304
-11.1252,-25.1308,14.6304
-11.8872,-23.1038,14.6304
-11.8872,-18.2880,14.6304
-11.8872,-7.2542,9.1440
-16.9469,-7.2542,9.1440
-19.1110,-7.2542,9.1440
-20.7264,-5.9131,9.1440
-20.7264,-3.4138,9.1440
-19.1110,-1.9202,9.1440
-19.1110,1.9202,9.1440
-20.7264,3.4138,9.1440
-20.7264,5.9131,9.1440
-19.1110,7.2542,9.1440
-16.9469,7.2542,9.1440
-11.8872,7.2542,9.1440
-11.8872,18.2880,9.1440
-11.8872,23.1038,9.1440
-11.1252,25.1308,9.1440
-7.9858,25.1308,9.1440
-7.9858,23.1038,9.1440
0,23.1038,9.1440
10.6680,23.1038,9.1440
10.6680,25.1308,9.1440
13.8989,25.1308,9.1440
14.9352,23.1038,9.1440
14.9352,18.2880,9.1440
18.7757,18.2880,9.1440
18.7757,9.1440,9.1440
18.7757,0,9.1440
18.7757,-9.1440,9.1440
18.7757,-18.2880,9.1440
14.9352,-18.2880,9.1440
14.9352,-23.1038,9.1440
13.8989,-25.1308,9.1440
10.6680,-25.1308,9.1440
10.6680,-23.1038,9.1440
0,-23.1038,9.1440
-7.9858,-23.1038,9.1440
-7.9858,-25.1308,9.1440
-11.1252,-25.1308,9.1440
-11.8872,-23.1038,9.1440
-11.8872,-18.2880,9.1440
-11.8872,-7.2542,3.6576
-16.9469,-7.2542,3.6576
-19.1110,-7.2542,3.6576
-20.7264,-5.9131,3.6576
-20.7264,-3.4138,3.6576
-19.1110,-1.9202,3.6576
-19.1110,1.9202,3.6576
-20.7264,3.4138,3.6576
-20.7264,5.9131,3.6576
-19.1110,7.2542,3.6576
-16.9469,7.2542,3.6576
-11.8872,7.2542,3.6576
-11.8872,18.2880,3.6576
-11.8872,23.1038,3.6576
-11.1252,25.1308,3.6576
-7.9858,25.1308,3.6576
-7.9858,23.1038,3.6576
0,23.1038,3.6576
10.6680,23.1038,3.6576
10.6680,25.1308,3.6576
13.8989,25.1308,3.6576
14.9352,23.1038,3.6576
14.9352,18.2880,3.6576
18.7757,18.2880,3.6576
18.7757,9.1440,3.6576
18.7757,0,3.6576
18.7757,-9.1440,3.6576
18.7757,-18.2880,3.6576
14.9352,-18.2880,3.6576
14.9352,-23.1038,3.6576
13.8989,-25.1308,3.6576
10.6680,-25.1308,3.6576
10.6680,-23.1038,3.6576
0,-23.1038,3.6576
-7.9858,-23.1038,3.6576
-7.9858,-25.1308,3.6576
-11.1252,-25.1308,3.6576
-11.8872,-23.1038,3.6576
-11.8872,-18.2880,3.6576
-11.8872,-7.2542,0
-16.9469,-7.2542,0
-19.1110,-7.2542,0
-20.7264,-5.9131,0
-20.7264,-3.4138,0
-19.1110,-1.9202,0
-19.1110,1.9202,0
-20.7264,3.4138,0
-20.7264,5.9131,0
-19.1110,7.2542,0
-16.9469,7.2542,0
-11.8872,7.2542,0
-11.8872,18.2880,0
-11.8872,23.1038,0
-11.1252,25.1308,0
-7.9858,25.1308,0
-7.9858,23.1038,0
0,23.1038,0
10.6680,23.1038,0
10.6680,25.1308,0
13.8989,25.1308,0
14.9352,23.1038,0
14.9352,18.2880,0
18.7757,18.2880,0
18.7757,9.1440,0
18.7757,0,0
18.7757,-9.1440,0
18.7757,-18.2880,0
14.9352,-18.2880,0
14.9352,-23.1038,0
13.8989,-25.1308,0
10.6680,-25.1308,0
10.6680,-23.1038,0
0,-23.1038,0
-7.9858,-23.1038,0
-7.9858,-25.1308,0
-11.1252,-25.1308,0
-11.8872,-23.1038,0
-11.8872,-18.2880,0
-11.8872,-7.2542,47.5488
-11.8872,7.2542,47.5488
14.9352,9.1440,79.3699
14.9352,0,79.3699
14.9352,-9.1440,79.3699
10.6680,18.2880,79.3699
10.6680,0,79.3699
10.6680,-9.1440,79.3699
10.6680,-18.2880,79.3699
0,18.2880,79.3699
0,9.1440,79.3699
0,0,79.3699
0,-9.1440,79.3699
0,-18.2880,79.3699
-7.9858,18.2880,79.3699
-7.9858,-18.2880,79.3699
-11.8872,7.2542,79.3699
-11.8872,-7.2542,79.3699
-16.9469,1.9202,79.3699
-16.9469,-1.9202,79.3699
5.3340,9.1440,79.3699
-7.9858,0,79.3699
-9.9365,0,79.3699
-9.9365,0,79.3699
1.5240,0,0
1.5240,0,0
16.8554,0,0
16.8554,0,0
-3.9929,9.1440,79.3699
-3.9929,-9.1440,79.3699
14.9352,0,0
1.5240,23.1038,0
-11.8872,0,0
1.5240,-23.1038,0
8.2296,11.5519,0
8.2296,-11.5519,0
-5.1816,11.5519,0
8.2296,11.5519,0
-5.1816,-11.5519,0
-5.1816,11.5519,0
8.2296,-11.5519,0
-5.1816,-11.5519,0
8.2296,0,0
14.9352,11.5519,0
14.9352,-11.5519,0
8.2296,0,0
1.5240,11.5519,0
-5.1816,23.1038,0
8.2296,23.1038,0
1.5240,11.5519,0
-5.1816,0,0
-11.8872,-11.5519,0
-11.8872,11.5519,0
-5.1816,0,0
1.5240,-11.5519,0
8.2296,-23.1038,0
-5.1816,-23.1038,0
1.5240,-11.5519,0
